Vendas	Lucro	Cli	Esc	Logica	Social	Mat
23.25	24	24.45	4.5	6	4.5	10
22.20	22.95	24.2	3.5	5	5	7.5
23.75	25.07	24.75	4	6	4.5	13
25.32	25.95	26.7	6.5	7	6	14.5
25.5	26.95	25.75	5	7.5	6	16
23.95	24.37	24.82	5	7	5.5	10.6
23.87	24.87	24.75	4.5	6	4.5	12.5
27.7	30.5	28.82	9	10	7.5	25.5
25.7	27.07	25.95	5	8.5	6.5	15.5
26.7	30.12	25.5	7	9	5.5	19.5
25.82	27.45	26	6	8.5	6	16
24.87	27.95	25.07	5	9	4	15.5
25.87	28.12	26.75	8	8.5	5.5	17
24.87	26.37	25.57	4	5	5.5	17
25	26.75	25.7	6.5	5	4	17
20.37	23.37	23.75	3.5	4.5	2.5	8
25.32	26.32	25.7	5.5	6	5.5	16
25.82	27.7	25.87	5.5	7	5.5	17.5
23.82	26.07	25.75	2.5	7	6.5	15
24.87	26.32	26.57	8.5	8.5	5.5	13.5
22.12	23.82	23.95	5	6	3.5	7.5
24.82	28.75	26.07	2.5	5.5	5.5	21
21.87	23.12	23.95	4.5	4.5	3.5	8
26.32	28.5	26.32	6	7.5	6	18.5
26.75	30.25	27.25	8	9.5	6	19.5
23.32	25.5	24.45	5	7.5	3.5	11.5
26.7	29.5	26.82	7	8	6	19.5
26.7	30	26.2	5	8	5.5	24.5
23.07	22.7	24.95	4	5	6.5	8.5
26.57	30.25	26.12	4.5	8.5	5.5	22
26.5	29.87	27.62	9	7.5	5	21.5
22.07	23.2	24.2	6.5	5.5	4	5
24	25.82	25.12	3.5	7.5	5.5	13.5
23.57	23.62	24.75	5	6	5.5	9.5
26.62	30.37	27.62	9	8.5	5	21
26.62	28.87	26.75	4	6.5	7	23.5
23	24.87	25.87	9	8	4	9
25.5	24.95	25.82	6.5	6	7	14
27.07	30.57	27.12	7.5	9.5	6	20.5
26.7	29.75	26.7	7	10	6	18.5
21.07	22.45	23.57	4	4	4	4.5
26.07	27.37	26.62	7	6	6	18
26.5	29.62	26.25	6	8	5.5	19.5
21.07	22.45	23.57	4	4	4	4.5
